SITE_ID,EASTING,NORTHING,NOX,DATE_TIME_STR,date,day_of_year,month,hour,sunrise_dt,sunset_dt,hour_start,hour_end,sun_multiplier,mean_wind_speed,mean_wind_dir,G_h_effective
672,358728.0,173520.0,18.0,2023-01-02 00:00:00,2023-01-02,2,1,0,2023-01-02 08:15:00,2023-01-02 16:13:00,2023-01-02 00:00:00,2023-01-02 01:00:00,0.0,5.0,180.0,0.0
672,358728.0,173520.0,13.0,2023-01-02 01:00:00,2023-01-02,2,1,1,2023-01-02 08:15:00,2023-01-02 16:13:00,2023-01-02 01:00:00,2023-01-02 02:00:00,0.0,5.0,190.0,0.0
672,358728.0,173520.0,13.0,2023-01-02 02:00:00,2023-01-02,2,1,2,2023-01-02 08:15:00,2023-01-02 16:13:00,2023-01-02 02:00:00,2023-01-02 03:00:00,0.0,7.0,210.0,0.0
672,358728.0,173520.0,11.0,2023-01-02 03:00:00,2023-01-02,2,1,3,2023-01-02 08:15:00,2023-01-02 16:13:00,2023-01-02 03:00:00,2023-01-02 04:00:00,0.0,9.0,220.0,0.0
672,358728.0,173520.0,4.0,2023-01-02 04:00:00,2023-01-02,2,1,4,2023-01-02 08:15:00,2023-01-02 16:13:00,2023-01-02 04:00:00,2023-01-02 05:00:00,0.0,7.0,230.0,0.0
672,358728.0,173520.0,9.0,2023-01-02 05:00:00,2023-01-02,2,1,5,2023-01-02 08:15:00,2023-01-02 16:13:00,2023-01-02 05:00:00,2023-01-02 06:00:00,0.0,5.0,230.0,0.0
672,358728.0,173520.0,13.0,2023-01-02 06:00:00,2023-01-02,2,1,6,2023-01-02 08:15:00,2023-01-02 16:13:00,2023-01-02 06:00:00,2023-01-02 07:00:00,0.0,4.0,250.0,0.0
672,358728.0,173520.0,35.0,2023-01-02 07:00:00,2023-01-02,2,1,7,2023-01-02 08:15:00,2023-01-02 16:13:00,2023-01-02 07:00:00,2023-01-02 08:00:00,0.0,3.0,240.0,0.0
672,358728.0,173520.0,63.0,2023-01-02 08:00:00,2023-01-02,2,1,8,2023-01-02 08:15:00,2023-01-02 16:13:00,2023-01-02 08:00:00,2023-01-02 09:00:00,0.75,4.0,240.0,8.093904676485392e-10
672,358728.0,173520.0,50.0,2023-01-02 09:00:00,2023-01-02,2,1,9,2023-01-02 08:15:00,2023-01-02 16:13:00,2023-01-02 09:00:00,2023-01-02 10:00:00,1.0,4.0,240.0,1.0791872901980525e-09
672,358728.0,173520.0,55.0,2023-01-02 10:00:00,2023-01-02,2,1,10,2023-01-02 08:15:00,2023-01-02 16:13:00,2023-01-02 10:00:00,2023-01-02 11:00:00,1.0,4.0,240.0,1.0791872901980525e-09
672,358728.0,173520.0,87.0,2023-01-02 11:00:00,2023-01-02,2,1,11,2023-01-02 08:15:00,2023-01-02 16:13:00,2023-01-02 11:00:00,2023-01-02 12:00:00,1.0,4.0,250.0,3.279055953363051e-10
