SITE_ID,EASTING,NORTHING,NOX,DATE_TIME_STR,date,day_of_year,month,hour,sunrise_dt,sunset_dt,hour_start,hour_end,sun_multiplier,mean_wind_speed,mean_wind_dir,G_h_effective
270,360903.0,170024.0,24.0,2023-01-01 00:00:00,2023-01-01,1,1,0,2023-01-01 08:15:00,2023-01-01 16:11:00,2023-01-01 00:00:00,2023-01-01 01:00:00,0.0,11.0,210.0,0.0
270,360903.0,170024.0,29.0,2023-01-01 01:00:00,2023-01-01,1,1,1,2023-01-01 08:15:00,2023-01-01 16:11:00,2023-01-01 01:00:00,2023-01-01 02:00:00,0.0,11.0,210.0,0.0
270,360903.0,170024.0,34.0,2023-01-01 02:00:00,2023-01-01,1,1,2,2023-01-01 08:15:00,2023-01-01 16:11:00,2023-01-01 02:00:00,2023-01-01 03:00:00,0.0,10.0,210.0,0.0
270,360903.0,170024.0,35.0,2023-01-01 03:00:00,2023-01-01,1,1,3,2023-01-01 08:15:00,2023-01-01 16:11:00,2023-01-01 03:00:00,2023-01-01 04:00:00,0.0,9.0,200.0,0.0
270,360903.0,170024.0,29.0,2023-01-01 04:00:00,2023-01-01,1,1,4,2023-01-01 08:15:00,2023-01-01 16:11:00,2023-01-01 04:00:00,2023-01-01 05:00:00,0.0,8.0,190.0,0.0
270,360903.0,170024.0,12.0,2023-01-01 05:00:00,2023-01-01,1,1,5,2023-01-01 08:15:00,2023-01-01 16:11:00,2023-01-01 05:00:00,2023-01-01 06:00:00,0.0,10.0,200.0,0.0
270,360903.0,170024.0,13.0,2023-01-01 06:00:00,2023-01-01,1,1,6,2023-01-01 08:15:00,2023-01-01 16:11:00,2023-01-01 06:00:00,2023-01-01 07:00:00,0.0,9.0,190.0,0.0
270,360903.0,170024.0,11.0,2023-01-01 07:00:00,2023-01-01,1,1,7,2023-01-01 08:15:00,2023-01-01 16:11:00,2023-01-01 07:00:00,2023-01-01 08:00:00,0.0,12.0,210.0,0.0
270,360903.0,170024.0,21.0,2023-01-01 08:00:00,2023-01-01,1,1,8,2023-01-01 08:15:00,2023-01-01 16:11:00,2023-01-01 08:00:00,2023-01-01 09:00:00,0.75,9.0,200.0,7.813331252497733e-13
270,360903.0,170024.0,20.0,2023-01-01 09:00:00,2023-01-01,1,1,9,2023-01-01 08:15:00,2023-01-01 16:11:00,2023-01-01 09:00:00,2023-01-01 10:00:00,1.0,8.0,190.0,1.8094214433100043e-09
