SITE_ID,EASTING,NORTHING,NOX,DATE_TIME_STR,date,day_of_year,month,hour,sunrise_dt,sunset_dt,hour_start,hour_end,sun_multiplier,mean_wind_speed,mean_wind_dir,G_h_effective
500,359522,173381,50.28731,2023-01-01 01:00:00,2023-01-01,1,1,1,2023-01-01 08:15:00,2023-01-01 16:11:00,2023-01-01 01:00:00,2023-01-01 02:00:00,0.0,11.0,210.0,0.0
500,359522,173381,65.00941,2023-01-01 02:00:00,2023-01-01,1,1,2,2023-01-01 08:15:00,2023-01-01 16:11:00,2023-01-01 02:00:00,2023-01-01 03:00:00,0.0,10.0,210.0,0.0
500,359522,173381,84.81037,2023-01-01 03:00:00,2023-01-01,1,1,3,2023-01-01 08:15:00,2023-01-01 16:11:00,2023-01-01 03:00:00,2023-01-01 04:00:00,0.0,9.0,200.0,0.0
500,359522,173381,76.34121,2023-01-01 04:00:00,2023-01-01,1,1,4,2023-01-01 08:15:00,2023-01-01 16:11:00,2023-01-01 04:00:00,2023-01-01 05:00:00,0.0,8.0,190.0,0.0
500,359522,173381,52.31886,2023-01-01 05:00:00,2023-01-01,1,1,5,2023-01-01 08:15:00,2023-01-01 16:11:00,2023-01-01 05:00:00,2023-01-01 06:00:00,0.0,10.0,200.0,0.0
500,359522,173381,63.16255,2023-01-01 06:00:00,2023-01-01,1,1,6,2023-01-01 08:15:00,2023-01-01 16:11:00,2023-01-01 06:00:00,2023-01-01 07:00:00,0.0,9.0,190.0,0.0
500,359522,173381,52.83334,2023-01-01 07:00:00,2023-01-01,1,1,7,2023-01-01 08:15:00,2023-01-01 16:11:00,2023-01-01 07:00:00,2023-01-01 08:00:00,0.0,12.0,210.0,0.0
500,359522,173381,65.10175,2023-01-01 08:00:00,2023-01-01,1,1,8,2023-01-01 08:15:00,2023-01-01 16:11:00,2023-01-01 08:00:00,2023-01-01 09:00:00,0.75,9.0,200.0,1.261488788620273e-11
500,359522,173381,84.48058,2023-01-01 09:00:00,2023-01-01,1,1,9,2023-01-01 08:15:00,2023-01-01 16:11:00,2023-01-01 09:00:00,2023-01-01 10:00:00,1.0,8.0,190.0,1.7506803073464904e-11
500,359522,173381,71.03809,2023-01-01 10:00:00,2023-01-01,1,1,10,2023-01-01 08:15:00,2023-01-01 16:11:00,2023-01-01 10:00:00,2023-01-01 11:00:00,1.0,8.0,190.0,1.7506803073464904e-11
500,359522,173381,56.59302,2023-01-01 11:00:00,2023-01-01,1,1,11,2023-01-01 08:15:00,2023-01-01 16:11:00,2023-01-01 11:00:00,2023-01-01 12:00:00,1.0,10.0,200.0,1.4424583028265522e-11
500,359522,173381,43.73097,2023-01-01 12:00:00,2023-01-01,1,1,12,2023-01-01 08:15:00,2023-01-01 16:11:00,2023-01-01 12:00:00,2023-01-01 13:00:00,1.0,11.0,200.0,1.2231907247316903e-11
500,359522,173381,88.17429,2023-01-01 13:00:00,2023-01-01,1,1,13,2023-01-01 08:15:00,2023-01-01 16:11:00,2023-01-01 13:00:00,2023-01-01 14:00:00,1.0,10.0,190.0,1.3510625460232985e-11
500,359522,173381,98.42436,2023-01-01 14:00:00,2023-01-01,1,1,14,2023-01-01 08:15:00,2023-01-01 16:11:00,2023-01-01 14:00:00,2023-01-01 15:00:00,1.0,8.0,190.0,1.7506803073464904e-11
500,359522,173381,110.17829,2023-01-01 15:00:00,2023-01-01,1,1,15,2023-01-01 08:15:00,2023-01-01 16:11:00,2023-01-01 15:00:00,2023-01-01 16:00:00,1.0,6.0,180.0,1.5980058900018763e-09
500,359522,173381,119.28066,2023-01-01 16:00:00,2023-01-01,1,1,16,2023-01-01 08:15:00,2023-01-01 16:11:00,2023-01-01 16:00:00,2023-01-01 17:00:00,0.18333333333333332,5.0,190.0,1.0575851572573145e-11
