PARENT_ID,SEGMENT_ID,SEGMENT_NO,SEGMENT_LENGTH_M,PARENT_LENGTH_M,PARENT_PROPORTION,DIST_TO_SENSOR_203,DIST_TO_SENSOR_215,DIST_TO_SENSOR_270,DIST_TO_SENSOR_452,DIST_TO_SENSOR_463,DIST_TO_SENSOR_500,DIST_TO_SENSOR_501,DIST_TO_SENSOR_672
10,10_1,1,7.688660123145043,2402.8115991555637,0.0031998597500724237,2574.3105834612475,3438.785966663903,3821.430316032109,327.37422105837436,3824.9786382547795,273.16186821857895,1130.688072524283,911.8359618705604
10,10_2,2,15.206204673699448,2402.8115991555637,0.006328504772926628,2574.343592759649,3423.7819103170204,3815.163207301713,327.37422105837436,3831.787029190664,258.36126280940084,1116.8741052582561,901.366945749331
10,10_3,3,65.44894988848394,2402.8115991555637,0.027238485910208318,2574.343592759649,3366.592432766701,3799.7895772385805,334.5046246368816,3845.8551112289906,206.64789064896985,1051.735490676167,843.7896389844783
10,10_4,4,23.121222403277557,2402.8115991555637,0.009622569830861148,2579.145074497588,3348.358763778187,3797.9852974933438,351.465416264762,3911.226685835105,193.1099275946805,1028.6405942949752,822.2418251989805
10,10_5,5,29.455533050434877,2402.8115991555637,0.01225877761734904,2569.470815379023,3319.124860662832,3775.679517841856,356.9065317077697,3934.2345005463126,164.39061351541443,1007.050426068316,811.0024254547208
10,10_6,6,77.53879619191044,2402.8115991555637,0.03227002742085997,2503.9471921962904,3255.5883332721905,3700.2945050972266,382.81575861647644,3957.037643825866,90.86938052722273,984.4804801255799,811.0024254547208
10,10_7,7,28.834577755226146,2402.8115991555637,0.012000348993387444,2488.109240592139,3227.363374270031,3677.395198870652,460.3542157020719,3988.392399906346,62.050223582232704,966.838913005404,817.1985357970834
10,10_8,8,13.436907774337726,2402.8115991555637,0.005592160358748039,2482.679569875263,3213.9424652980897,3668.180065561827,486.94103842335676,4009.8585774747717,48.73369284931749,957.200167989577,812.8627426367892
10,10_9,9,12.758552571855633,2402.8115991555637,0.005309843092292154,2478.6016968553154,3201.192602840427,3660.284504351276,498.48647949748585,4021.174309663777,36.45507004698268,947.39469752942,807.9031940854246
10,10_10,10,35.000329039830035,2402.8115991555637,0.014566405893882998,2466.4576994742224,3166.1922949017985,3637.7281538987727,508.9545430858161,4032.478205770707,10.11620755504777,921.7681962150581,796.4503462567322
10,10_11,11,77.75907522920014,2402.8115991555637,0.03236170295520778,2427.949035257107,3089.7970600359185,3578.098734278288,538.8718506246207,4062.897600027541,9.940907502613564,878.5698336911961,790.2566612902006
