count_point_id,direction_of_travel,year,count_date,hour,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
26021,E,2018,05/07/2023,15,M5,Major,Junction 18 M5,merge of feeder roads,352600,178100,51.49983715,-2.68424907,0.4,0.25,0,17,1320,9,361,54,19,24,9,15,142,263,1970
26021,E,2018,05/07/2023,11,M5,Major,Junction 18 M5,merge of feeder roads,352600,178100,51.49983715,-2.68424907,0.4,0.25,0,4,760,5,300,75,30,21,9,5,144,284,1353
26021,W,2023,05/07/2023,17,M5,Major,Junction 18 M5,merge of feeder roads,352600,178100,51.49983715,-2.68424907,0.4,0.25,0,6,1257,3,269,31,5,3,6,65,56,166,1701
26021,E,2023,05/07/2023,9,M5,Major,Junction 18 M5,merge of feeder roads,352600,178100,51.49983715,-2.68424907,0.4,0.25,0,0,724,8,421,62,20,45,9,63,91,290,1443
26021,E,2023,05/07/2023,10,M5,Major,Junction 18 M5,merge of feeder roads,352600,178100,51.49983715,-2.68424907,0.4,0.25,0,1,855,3,413,43,15,34,8,80,123,303,1575
26021,W,2023,05/07/2023,7,M5,Major,Junction 18 M5,merge of feeder roads,352600,178100,51.49983715,-2.68424907,0.4,0.25,0,10,2222,5,736,52,19,33,8,77,97,286,3259
26021,E,2023,05/07/2023,14,M5,Major,Junction 18 M5,merge of feeder roads,352600,178100,51.49983715,-2.68424907,0.4,0.25,0,8,1412,1,398,51,19,28,11,57,113,279,2098
26021,E,2023,05/07/2023,8,M5,Major,Junction 18 M5,merge of feeder roads,352600,178100,51.49983715,-2.68424907,0.4,0.25,0,4,1008,8,526,77,21,50,14,86,102,350,1896
26021,W,2023,05/07/2023,18,M5,Major,Junction 18 M5,merge of feeder roads,352600,178100,51.49983715,-2.68424907,0.4,0.25,0,8,1084,1,184,24,6,3,9,44,49,135,1412
26021,E,2023,05/07/2023,18,M5,Major,Junction 18 M5,merge of feeder roads,352600,178100,51.49983715,-2.68424907,0.4,0.25,0,7,1519,6,221,23,9,8,9,24,67,140,1893
26021,W,2023,05/07/2023,14,M5,Major,Junction 18 M5,merge of feeder roads,352600,178100,51.49983715,-2.68424907,0.4,0.25,0,6,1020,4,439,96,33,32,21,73,106,361,1830
26021,W,2023,05/07/2023,10,M5,Major,Junction 18 M5,merge of feeder roads,352600,178100,51.49983715,-2.68424907,0.4,0.25,0,1,991,3,486,55,17,32,17,100,114,335,1816
26021,E,2023,05/07/2023,17,M5,Major,Junction 18 M5,merge of feeder roads,352600,178100,51.49983715,-2.68424907,0.4,0.25,0,20,2497,5,365,26,7,4,3,28,49,117,3004
26021,W,2023,05/07/2023,15,M5,Major,Junction 18 M5,merge of feeder roads,352600,178100,51.49983715,-2.68424907,0.4,0.25,0,7,1067,2,480,102,30,30,14,96,113,385,1941
26021,E,2023,05/07/2023,12,M5,Major,Junction 18 M5,merge of feeder roads,352600,178100,51.49983715,-2.68424907,0.4,0.25,0,5,1079,1,491,45,15,36,14,47,120,277,1853
26021,W,2023,05/07/2023,9,M5,Major,Junction 18 M5,merge of feeder roads,352600,178100,51.49983715,-2.68424907,0.4,0.25,0,4,1210,5,461,66,23,44,10,97,92,332,2012
26021,E,2023,05/07/2023,13,M5,Major,Junction 18 M5,merge of feeder roads,352600,178100,51.49983715,-2.68424907,0.4,0.25,0,5,1091,8,409,45,21,37,8,46,122,279,1792
26021,W,2023,05/07/2023,8,M5,Major,Junction 18 M5,merge of feeder roads,352600,178100,51.49983715,-2.68424907,0.4,0.25,0,19,1955,2,565,60,15,36,6,69,76,262,2803
26021,W,2023,05/07/2023,16,M5,Major,Junction 18 M5,merge of feeder roads,352600,178100,51.49983715,-2.68424907,0.4,0.25,0,10,1164,3,424,68,27,17,9,53,65,239,1840
26021,E,2023,05/07/2023,11,M5,Major,Junction 18 M5,merge of feeder roads,352600,178100,51.49983715,-2.68424907,0.4,0.25,0,7,877,1,503,50,21,35,14,54,103,277,1665
26021,W,2023,05/07/2023,12,M5,Major,Junction 18 M5,merge of feeder roads,352600,178100,51.49983715,-2.68424907,0.4,0.25,0,3,977,4,419,76,29,31,16,57,88,297,1700
26021,E,2023,05/07/2023,7,M5,Major,Junction 18 M5,merge of feeder roads,352600,178100,51.49983715,-2.68424907,0.4,0.25,0,6,881,3,535,105,44,30,17,81,107,384,1809
26021,E,2023,05/07/2023,16,M5,Major,Junction 18 M5,merge of feeder roads,352600,178100,51.49983715,-2.68424907,0.4,0.25,0,20,2306,3,582,26,9,24,11,41,97,208,3119
26043,S,2022,10/10/2023,8,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,28,2166,29,642,46,21,18,0,9,31,125,2990
26043,N,2022,10/10/2023,13,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,3,1577,22,491,57,11,27,2,8,38,143,2236
26043,N,2022,10/10/2023,12,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,6,1339,26,455,50,14,17,4,5,47,137,1963
26043,N,2023,10/10/2023,10,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,3,1233,33,442,67,16,19,6,24,25,157,1868
26043,N,2023,10/10/2023,13,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,18,1504,26,483,52,5,32,5,19,21,134,2165
26043,S,2023,10/10/2023,12,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,14,1396,28,476,57,12,16,8,25,14,132,2046
26043,N,2023,10/10/2023,17,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,52,2840,30,361,12,2,2,8,9,11,44,3327
26043,N,2023,10/10/2023,8,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,15,2338,28,479,36,9,27,7,15,20,114,2974
26043,S,2023,10/10/2023,18,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,12,2366,41,246,14,0,0,2,10,2,28,2693
26043,S,2023,10/10/2023,8,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,53,2050,24,532,46,9,14,9,31,19,128,2787
26043,S,2023,10/10/2023,9,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,23,1890,40,518,54,14,23,10,33,24,158,2629
26043,S,2023,10/10/2023,10,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,10,1426,35,445,60,12,27,10,24,15,148,2064
26043,S,2023,10/10/2023,11,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,15,1413,26,446,41,9,20,3,22,13,108,2008
26043,N,2023,10/10/2023,11,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,10,1161,34,446,42,13,29,8,23,35,150,1801
26043,S,2023,10/10/2023,16,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,23,2267,31,553,25,4,8,3,17,9,66,2940
26043,N,2023,10/10/2023,9,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,10,1425,36,512,59,11,26,9,25,25,155,2138
26043,N,2023,10/10/2023,7,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,13,2756,36,552,54,4,10,8,19,20,115,3472
26043,S,2023,10/10/2023,14,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,7,1474,28,499,62,12,28,7,25,15,149,2157
26043,N,2023,10/10/2023,14,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,14,1684,35,530,48,3,24,9,20,19,123,2386
26043,S,2023,10/10/2023,15,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,20,1757,24,571,41,9,27,6,18,12,113,2485
26043,N,2023,10/10/2023,18,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,28,2341,33,241,22,0,0,5,7,11,45,2688
26043,N,2023,10/10/2023,15,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,26,2061,29,614,48,3,25,3,21,13,113,2843
26043,S,2023,10/10/2023,13,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,8,1389,31,408,62,8,31,13,30,19,163,1999
26043,S,2023,10/10/2023,7,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,28,2644,26,589,47,7,10,8,25,32,129,3416
26043,N,2023,02/07/2024,16,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,37,2448,32,569,22,3,10,1,11,15,62,3148
26043,S,2023,02/07/2024,17,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,15,2674,42,379,16,1,2,6,8,2,35,3145
26043,N,2023,02/07/2024,12,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,12,1373,31,432,44,15,25,6,16,19,125,1973
26043,S,2024,02/07/2024,12,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,20,1478,26,481,54,9,14,4,26,33,140,2145
26043,N,2024,02/07/2024,13,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,17,1621,26,542,49,7,19,8,23,23,129,2335
26043,S,2024,02/07/2024,7,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,35,2623,29,751,59,9,13,3,9,40,133,3571
26043,N,2024,02/07/2024,8,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,28,2333,34,507,52,10,12,4,17,16,111,3013
26043,N,2024,02/07/2024,14,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,17,1862,41,504,55,10,18,2,22,27,134,2558
26043,S,2024,02/07/2024,11,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,12,1479,31,478,47,10,13,4,12,26,112,2112
26043,S,2024,02/07/2024,8,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,52,2300,28,624,59,16,20,4,26,31,156,3160
26043,S,2024,02/07/2024,9,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,9,1802,32,491,62,16,16,3,21,27,145,2479
26043,N,2024,02/07/2024,18,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,27,2240,29,226,17,2,0,3,5,13,40,2562
26043,N,2024,02/07/2024,9,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,11,1504,32,491,53,7,16,9,24,26,135,2173
26043,S,2024,02/07/2024,18,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,14,2183,40,263,15,3,3,1,6,7,35,2535
26043,N,2024,02/07/2024,15,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,31,2130,34,680,38,8,8,2,13,33,102,2977
26043,N,2024,02/07/2024,16,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,39,2760,34,589,28,2,4,2,8,14,58,3480
26043,N,2024,02/07/2024,7,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,16,2607,45,587,54,9,19,7,14,20,123,3378
26043,S,2024,02/07/2024,17,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,26,2649,39,363,16,2,1,3,6,8,36,3113
26043,N,2024,02/07/2024,10,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,10,1197,37,466,67,12,13,7,26,23,148,1858
26043,S,2024,02/07/2024,15,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,9,1815,28,545,64,8,13,2,9,14,110,2507
26043,N,2024,02/07/2024,12,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,9,1526,36,485,49,10,13,2,20,25,119,2175
26043,S,2024,02/07/2024,14,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,10,1551,33,497,47,9,15,5,18,20,114,2205
26043,S,2024,02/07/2024,10,M32,Major,Junction 2 M32,LA Boundary,362437,177160,51.49212725,-2.54243962,3.3,2.05,0,9,1550,37,442,56,13,15,12,12,31,139,2177
