SITE_ID,EASTING,NORTHING,NOX,DATE_TIME_STR
500,359522,173381,50.28731,2023-01-01 01:00:00
500,359522,173381,65.00941,2023-01-01 02:00:00
500,359522,173381,84.81037,2023-01-01 03:00:00
500,359522,173381,76.34121,2023-01-01 04:00:00
500,359522,173381,52.31886,2023-01-01 05:00:00
500,359522,173381,63.16255,2023-01-01 06:00:00
500,359522,173381,52.83334,2023-01-01 07:00:00
500,359522,173381,65.10175,2023-01-01 08:00:00
500,359522,173381,84.48058,2023-01-01 09:00:00
500,359522,173381,71.03809,2023-01-01 10:00:00
500,359522,173381,56.59302,2023-01-01 11:00:00
500,359522,173381,43.73097,2023-01-01 12:00:00
500,359522,173381,88.17429,2023-01-01 13:00:00
500,359522,173381,98.42436,2023-01-01 14:00:00
500,359522,173381,110.17829,2023-01-01 15:00:00
500,359522,173381,119.28066,2023-01-01 16:00:00
500,359522,173381,81.56518,2023-01-01 17:00:00
500,359522,173381,74.44158,2023-01-01 18:00:00
500,359522,173381,70.54999,2023-01-01 19:00:00
500,359522,173381,60.78802,2023-01-01 20:00:00
500,359522,173381,60.94632,2023-01-01 21:00:00
500,359522,173381,78.31999,2023-01-01 22:00:00
500,359522,173381,82.63372,2023-01-01 23:00:00
500,359522,173381,79.38852,2023-01-02 00:00:00
500,359522,173381,59.08013,2023-01-02 01:00:00
500,359522,173381,75.76407,2023-01-02 02:00:00
500,359522,173381,47.63633,2023-01-02 03:00:00
500,359522,173381,11.68139,2023-01-02 04:00:00
500,359522,173381,6.28287,2023-01-02 05:00:00
500,359522,173381,7.12763,2023-01-02 06:00:00
500,359522,173381,33.14348,2023-01-02 07:00:00
500,359522,173381,16.07677,2023-01-02 08:00:00
500,359522,173381,24.78831,2023-01-02 09:00:00
500,359522,173381,49.33904,2023-01-02 10:00:00
500,359522,173381,143.42376,2023-01-02 11:00:00
500,359522,173381,43.16176,2023-01-02 12:00:00
500,359522,173381,32.31192,2023-01-02 13:00:00
500,359522,173381,24.07555,2023-01-02 14:00:00
500,359522,173381,23.48158,2023-01-02 15:00:00
500,359522,173381,29.34208,2023-01-02 16:00:00
500,359522,173381,111.58701,2023-01-02 17:00:00
500,359522,173381,88.38261,2023-01-02 18:00:00
500,359522,173381,109.50152,2023-01-02 19:00:00
500,359522,173381,191.41646,2023-01-02 20:00:00
500,359522,173381,96.97537,2023-01-02 21:00:00
500,359522,173381,89.01618,2023-01-02 22:00:00
500,359522,173381,107.03324,2023-01-02 23:00:00
500,359522,173381,78.44353,2023-01-03 00:00:00
500,359522,173381,,2023-01-03 01:00:00
500,359522,173381,57.89854,2023-01-03 02:00:00
500,359522,173381,35.49984,2023-01-03 03:00:00
500,359522,173381,26.22867,2023-01-03 04:00:00
500,359522,173381,53.68558,2023-01-03 05:00:00
500,359522,173381,29.23982,2023-01-03 06:00:00
500,359522,173381,21.94968,2023-01-03 07:00:00
500,359522,173381,65.61131,2023-01-03 08:00:00
500,359522,173381,77.14083,2023-01-03 09:00:00
500,359522,173381,75.59563,2023-01-03 10:00:00
500,359522,173381,83.40085,2023-01-03 11:00:00
500,359522,173381,100.00177,2023-01-03 12:00:00
500,359522,173381,76.38804,2023-01-03 13:00:00
500,359522,173381,65.69055,2023-01-03 14:00:00
500,359522,173381,53.24976,2023-01-03 15:00:00
500,359522,173381,55.82508,2023-01-03 16:00:00
500,359522,173381,60.61914,2023-01-03 17:00:00
500,359522,173381,74.69757,2023-01-03 18:00:00
500,359522,173381,51.7838,2023-01-03 19:00:00
500,359522,173381,62.95674,2023-01-03 20:00:00
500,359522,173381,26.54564,2023-01-03 21:00:00
500,359522,173381,35.46022,2023-01-03 22:00:00
500,359522,173381,48.01987,2023-01-03 23:00:00
500,359522,173381,44.69176,2023-01-04 00:00:00
500,359522,173381,37.36991,2023-01-04 01:00:00
500,359522,173381,39.69562,2023-01-04 02:00:00
500,359522,173381,41.38705,2023-01-04 03:00:00
500,359522,173381,28.78065,2023-01-04 04:00:00
500,359522,173381,6.97713,2023-01-04 05:00:00
500,359522,173381,4.75713,2023-01-04 06:00:00
500,359522,173381,10.09569,2023-01-04 07:00:00
500,359522,173381,15.65889,2023-01-04 08:00:00
500,359522,173381,17.99782,2023-01-04 09:00:00
500,359522,173381,17.91853,2023-01-04 10:00:00
500,359522,173381,14.35068,2023-01-04 11:00:00
500,359522,173381,14.58854,2023-01-04 12:00:00
500,359522,173381,14.27139,2023-01-04 13:00:00
500,359522,173381,16.80853,2023-01-04 14:00:00
500,359522,173381,15.46068,2023-01-04 15:00:00
500,359522,173381,14.35068,2023-01-04 16:00:00
500,359522,173381,12.44783,2023-01-04 17:00:00
500,359522,173381,14.70747,2023-01-04 18:00:00
500,359522,173381,12.20997,2023-01-04 19:00:00
500,359522,173381,9.40855,2023-01-04 20:00:00
500,359522,173381,9.07819,2023-01-04 21:00:00
500,359522,173381,6.34284,2023-01-04 22:00:00
500,359522,173381,5.31213,2023-01-04 23:00:00
500,359522,173381,5.31213,2023-01-05 00:00:00
500,359522,173381,4.07229,2023-01-05 01:00:00
500,359522,173381,4.0194,2023-01-05 02:00:00
500,359522,173381,2.53857,2023-01-05 03:00:00
500,359522,173381,2.89556,2023-01-05 04:00:00
500,359522,173381,15.58841,2023-01-05 05:00:00
500,359522,173381,82.58289,2023-01-05 06:00:00
500,359522,173381,93.21316,2023-01-05 07:00:00
500,359522,173381,136.76551,2023-01-05 08:00:00
500,359522,173381,102.37581,2023-01-05 09:00:00
500,359522,173381,99.2026,2023-01-05 10:00:00
500,359522,173381,63.02796,2023-01-05 11:00:00
500,359522,173381,47.79653,2023-01-05 12:00:00
500,359522,173381,54.38095,2023-01-05 13:00:00
500,359522,173381,53.42899,2023-01-05 14:00:00
500,359522,173381,72.26994,2023-01-05 15:00:00
500,359522,173381,98.68695,2023-01-05 16:00:00
500,359522,173381,99.16293,2023-01-05 17:00:00
500,359522,173381,70.48501,2023-01-05 18:00:00
500,359522,173381,70.76267,2023-01-05 19:00:00
500,359522,173381,62.24788,2023-01-05 20:00:00
500,359522,173381,47.59821,2023-01-05 21:00:00
500,359522,173381,53.23066,2023-01-05 22:00:00
500,359522,173381,53.03234,2023-01-05 23:00:00
500,359522,173381,10.47161,2023-01-06 00:00:00
500,359522,173381,5.60918,2023-01-06 01:00:00
500,359522,173381,4.49793,2023-01-06 02:00:00
