SITE_ID,LOCATION,EASTING,NORTHING,DATE_TIME,NO,NOX,NO2,PM2_5,PM10,DATE_TIME_RAW,DATE_TIME_STR
270,Wells Road,360903,170024,2023-01-01 00:00:00,9.0,24.0,10.0,,,2023-01-01 00:00:00,01/01/2023 00:00:00
270,Wells Road,360903,170024,2023-01-01 01:00:00,11.0,29.0,12.0,,,2023-01-01 01:00:00,01/01/2023 01:00:00
270,Wells Road,360903,170024,2023-01-01 02:00:00,12.0,34.0,15.0,,,2023-01-01 02:00:00,01/01/2023 02:00:00
270,Wells Road,360903,170024,2023-01-01 03:00:00,16.0,35.0,11.0,,,2023-01-01 03:00:00,01/01/2023 03:00:00
270,Wells Road,360903,170024,2023-01-01 04:00:00,11.0,29.0,12.0,,,2023-01-01 04:00:00,01/01/2023 04:00:00
270,Wells Road,360903,170024,2023-01-01 05:00:00,5.0,12.0,5.0,,,2023-01-01 05:00:00,01/01/2023 05:00:00
270,Wells Road,360903,170024,2023-01-01 06:00:00,5.0,13.0,6.0,,,2023-01-01 06:00:00,01/01/2023 06:00:00
270,Wells Road,360903,170024,2023-01-01 07:00:00,5.0,11.0,4.0,,,2023-01-01 07:00:00,01/01/2023 07:00:00
270,Wells Road,360903,170024,2023-01-01 08:00:00,8.0,21.0,8.0,,,2023-01-01 08:00:00,01/01/2023 08:00:00
270,Wells Road,360903,170024,2023-01-01 09:00:00,8.0,20.0,8.0,,,2023-01-01 09:00:00,01/01/2023 09:00:00
270,Wells Road,360903,170024,2023-01-01 10:00:00,9.0,24.0,11.0,,,2023-01-01 10:00:00,01/01/2023 10:00:00
270,Wells Road,360903,170024,2023-01-01 11:00:00,17.0,40.0,14.0,,,2023-01-01 11:00:00,01/01/2023 11:00:00
270,Wells Road,360903,170024,2023-01-01 12:00:00,19.0,49.0,20.0,,,2023-01-01 12:00:00,01/01/2023 12:00:00
270,Wells Road,360903,170024,2023-01-01 13:00:00,30.0,72.0,27.0,,,2023-01-01 13:00:00,01/01/2023 13:00:00
270,Wells Road,360903,170024,2023-01-01 14:00:00,32.0,79.0,30.0,,,2023-01-01 14:00:00,01/01/2023 14:00:00
270,Wells Road,360903,170024,2023-01-01 15:00:00,30.0,72.0,27.0,,,2023-01-01 15:00:00,01/01/2023 15:00:00
270,Wells Road,360903,170024,2023-01-01 16:00:00,37.0,88.0,31.0,,,2023-01-01 16:00:00,01/01/2023 16:00:00
270,Wells Road,360903,170024,2023-01-01 17:00:00,27.0,64.0,23.0,,,2023-01-01 17:00:00,01/01/2023 17:00:00
270,Wells Road,360903,170024,2023-01-01 18:00:00,22.0,55.0,22.0,,,2023-01-01 18:00:00,01/01/2023 18:00:00
270,Wells Road,360903,170024,2023-01-01 19:00:00,23.0,58.0,23.0,,,2023-01-01 19:00:00,01/01/2023 19:00:00
270,Wells Road,360903,170024,2023-01-01 20:00:00,16.0,50.0,27.0,,,2023-01-01 20:00:00,01/01/2023 20:00:00
270,Wells Road,360903,170024,2023-01-01 21:00:00,16.0,48.0,24.0,,,2023-01-01 21:00:00,01/01/2023 21:00:00
270,Wells Road,360903,170024,2023-01-01 22:00:00,17.0,45.0,18.0,,,2023-01-01 22:00:00,01/01/2023 22:00:00
270,Wells Road,360903,170024,2023-01-01 23:00:00,11.0,28.0,11.0,,,2023-01-01 23:00:00,01/01/2023 23:00:00
270,Wells Road,360903,170024,2023-01-02 00:00:00,7.0,21.0,10.0,,,2023-01-02 00:00:00,02/01/2023 00:00:00
270,Wells Road,360903,170024,2023-01-02 01:00:00,8.0,20.0,9.0,,,2023-01-02 01:00:00,02/01/2023 01:00:00
270,Wells Road,360903,170024,2023-01-02 02:00:00,3.0,9.0,5.0,,,2023-01-02 02:00:00,02/01/2023 02:00:00
270,Wells Road,360903,170024,2023-01-02 03:00:00,2.0,6.0,4.0,,,2023-01-02 03:00:00,02/01/2023 03:00:00
270,Wells Road,360903,170024,2023-01-02 04:00:00,2.0,8.0,4.0,,,2023-01-02 04:00:00,02/01/2023 04:00:00
270,Wells Road,360903,170024,2023-01-02 05:00:00,2.0,7.0,5.0,,,2023-01-02 05:00:00,02/01/2023 05:00:00
270,Wells Road,360903,170024,2023-01-02 06:00:00,3.0,9.0,5.0,,,2023-01-02 06:00:00,02/01/2023 06:00:00
270,Wells Road,360903,170024,2023-01-02 07:00:00,14.0,42.0,21.0,,,2023-01-02 07:00:00,02/01/2023 07:00:00
270,Wells Road,360903,170024,2023-01-02 08:00:00,31.0,85.0,37.0,,,2023-01-02 08:00:00,02/01/2023 08:00:00
270,Wells Road,360903,170024,2023-01-02 09:00:00,26.0,65.0,25.0,,,2023-01-02 09:00:00,02/01/2023 09:00:00
270,Wells Road,360903,170024,2023-01-02 10:00:00,50.0,113.0,37.0,,,2023-01-02 10:00:00,02/01/2023 10:00:00
270,Wells Road,360903,170024,2023-01-02 11:00:00,40.0,88.0,28.0,,,2023-01-02 11:00:00,02/01/2023 11:00:00
270,Wells Road,360903,170024,2023-01-02 12:00:00,32.0,80.0,31.0,,,2023-01-02 12:00:00,02/01/2023 12:00:00
270,Wells Road,360903,170024,2023-01-02 13:00:00,35.0,79.0,24.0,,,2023-01-02 13:00:00,02/01/2023 13:00:00
270,Wells Road,360903,170024,2023-01-02 14:00:00,29.0,72.0,27.0,,,2023-01-02 14:00:00,02/01/2023 14:00:00
270,Wells Road,360903,170024,2023-01-02 15:00:00,27.0,71.0,31.0,,,2023-01-02 15:00:00,02/01/2023 15:00:00
270,Wells Road,360903,170024,2023-01-02 16:00:00,79.0,178.0,57.0,,,2023-01-02 16:00:00,02/01/2023 16:00:00
270,Wells Road,360903,170024,2023-01-02 17:00:00,114.0,240.0,66.0,,,2023-01-02 17:00:00,02/01/2023 17:00:00
270,Wells Road,360903,170024,2023-01-02 18:00:00,137.0,271.0,60.0,,,2023-01-02 18:00:00,02/01/2023 18:00:00
270,Wells Road,360903,170024,2023-01-02 19:00:00,135.0,255.0,49.0,,,2023-01-02 19:00:00,02/01/2023 19:00:00
270,Wells Road,360903,170024,2023-01-02 20:00:00,111.0,207.0,38.0,,,2023-01-02 20:00:00,02/01/2023 20:00:00
270,Wells Road,360903,170024,2023-01-02 21:00:00,90.0,173.0,35.0,,,2023-01-02 21:00:00,02/01/2023 21:00:00
270,Wells Road,360903,170024,2023-01-02 22:00:00,108.0,205.0,38.0,,,2023-01-02 22:00:00,02/01/2023 22:00:00
270,Wells Road,360903,170024,2023-01-02 23:00:00,43.0,96.0,31.0,,,2023-01-02 23:00:00,02/01/2023 23:00:00
270,Wells Road,360903,170024,2023-01-03 00:00:00,10.0,38.0,23.0,,,2023-01-03 00:00:00,03/01/2023 00:00:00
270,Wells Road,360903,170024,2023-01-03 01:00:00,3.0,17.0,13.0,,,2023-01-03 01:00:00,03/01/2023 01:00:00
270,Wells Road,360903,170024,2023-01-03 02:00:00,5.0,22.0,14.0,,,2023-01-03 02:00:00,03/01/2023 02:00:00
270,Wells Road,360903,170024,2023-01-03 03:00:00,2.0,12.0,9.0,,,2023-01-03 03:00:00,03/01/2023 03:00:00
270,Wells Road,360903,170024,2023-01-03 04:00:00,1.0,8.0,6.0,,,2023-01-03 04:00:00,03/01/2023 04:00:00
