,OBJECTID,SITE_NAME,X,Y,EXTENT_EASTING_1,EXTENT_NORTHING_1,EXTENT_EASTING_2,EXTENT_NORTHING_2,LATIN_NAME,COMMON_NAME,FULL_COMMON_NAME,TREE_SPECIES,DBH,CROWN_AREA_COMPLETE,Data Source,tree_group,CROWN_HEIGHT_interpolated
2113,26611492,Horfield Road,358531.73,173468.52,358531.73,173468.52,358531.73,173468.52,Alnus cordata,Alder,Italian alder,Alnus cordata,0.5,150.05,Original,deciduous,15.0
2114,26611493,Horfield Road,358534.48,173454.21,358534.48,173454.21,358534.48,173454.21,Alnus cordata,Alder,Italian alder,Alnus cordata,0.38,60.05,Original,deciduous,11.0
2115,26611494,Horfield Road,358525.81,173623.92,358525.81,173623.92,358525.81,173623.92,Sorbus aucuparia Fastigiata,Rowan,Fastigiate rowan,Sorbus aucuparia Fastigiata,0.1368239355581127,27.504157630096167,Imputed,deciduous,4.402923516892326
2229,26611611,Lewins Mead,358763.16,173337.85,358763.16,173337.85,358763.16,173337.85,Ulmus Dodoens,Elm,Hybrid elm,Ulmus Dodoens,0.3,60.05,Original,deciduous,8.0
2230,26611612,Lewins Mead,358677.05,173254.38,358677.05,173254.38,358677.05,173254.38,Acer campestre,Field Maple,Field maple,Acer campestre,0.15,10.0,Original,deciduous,4.0
2231,26611613,Lewins Mead,358685.34,173262.79,358685.34,173262.79,358685.34,173262.79,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.63,275.05,Original,deciduous,16.0
2232,26611614,Lewins Mead,358694.35,173274.37,358694.35,173274.37,358694.35,173274.37,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.6,275.05,Original,deciduous,15.0
2233,26611615,Lewins Mead,358747.89,173329.32,358747.89,173329.32,358747.89,173329.32,Ulmus 'New Horizon',Elm,Elm ' New Horizon',Ulmus 'New Horizon',0.3,60.05,Original,deciduous,9.0
2234,26611616,Lewins Mead,358753.89,173331.49,358753.89,173331.49,358753.89,173331.49,Ulmus Dodoens,Elm,Hybrid elm,Ulmus Dodoens,0.3,60.05,Original,deciduous,8.0
2235,26611617,Lewins Mead,358758.96,173334.4,358758.96,173334.4,358758.96,173334.4,Ulmus Dodoens,Elm,Hybrid elm,Ulmus Dodoens,0.06,3.59389657952302,Original,deciduous,2.512567711307841
2236,26611618,Lewins Mead,358781.35,173344.56,358781.35,173344.56,358781.35,173344.56,Alnus cordata,Alder,Italian alder,Alnus cordata,0.06,3.581549018704922,Original,deciduous,1.9276339136887284
2573,26611963,Hartcliffe Way,358047.91,170304.96,358047.91,170304.96,358047.91,170304.96,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.25,60.05,Original,deciduous,8.0
2581,26611971,Hartcliffe Way,358046.63,170311.6,358046.63,170311.6,358046.63,170311.6,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.27,60.05,Original,deciduous,8.0
