,Unnamed: 0,OBJECTID,SITE_NAME,X,Y,EXTENT_EASTING_1,EXTENT_NORTHING_1,EXTENT_EASTING_2,EXTENT_NORTHING_2,LATIN_NAME,COMMON_NAME,FULL_COMMON_NAME,TREE_SPECIES,CROWN_WIDTH,CROWN_HEIGHT,DBH,PLANTING_SEASON,CROWN_AREA_MIDPOINT,CROWN_AREA_COMPLETE,Data Source
41614,41614,26651405,Stoke Park Estate,362080.81,176686.25,362080.81,176686.25,362080.81,176686.25,Aesculus hippocastanum,Horse Chestnut,Horse chestnut,Aesculus hippocastanum,,,0.88,Not Applicable,,340.173533536405,Original
41615,41615,26651406,Stoke Park Estate,360819.26,175909.03,360819.26,175909.03,360819.26,175909.03,Aesculus hippocastanum,Horse Chestnut,Horse chestnut,Aesculus hippocastanum,18.0,25.0,0.7000000000000001,Not Applicable,,240.21987861622995,Original
41616,41616,26651407,Stoke Park Estate,361496.78,177376.57,361496.78,177376.57,361496.78,177376.57,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,,,0.35921348314606744,Not Applicable,,101.54225730467141,Imputed
41617,41617,26651408,Stoke Park Estate,361502.52,177385.43,361502.52,177385.43,361502.52,177385.43,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,,,0.35921348314606744,Not Applicable,,101.54225730467141,Imputed
41618,41618,26651409,Stoke Park Estate,361693.17,177516.34,361693.17,177516.34,361693.17,177516.34,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,,,0.35921348314606744,Not Applicable,,101.54225730467141,Imputed
41619,41619,26651410,Stoke Park Estate,361738.18,177517.12,361738.18,177517.12,361738.18,177517.12,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,,,0.35921348314606744,Not Applicable,,101.54225730467141,Imputed
41620,41620,26651411,Stoke Park Estate,361572.37,177503.88,361572.37,177503.88,361572.37,177503.88,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,,,0.35921348314606744,Not Applicable,,101.54225730467141,Imputed
41621,41621,26651412,Stoke Park Estate,361593.88,177471.93,361593.88,177471.93,361593.88,177471.93,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,,,0.35921348314606744,Not Applicable,,101.54225730467141,Imputed
41622,41622,26651413,Stoke Park Estate,361691.48,177639.74,361691.48,177639.74,361691.48,177639.74,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,,,0.35921348314606744,Not Applicable,,101.54225730467141,Imputed
41623,41623,26651414,Stoke Park Estate,361730.62,177592.16,361730.62,177592.16,361730.62,177592.16,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,,,0.35921348314606744,Not Applicable,,101.54225730467141,Imputed
41624,41624,26651415,Stoke Park Estate,361668.3,177626.08,361668.3,177626.08,361668.3,177626.08,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,,,0.35921348314606744,Not Applicable,,101.54225730467141,Imputed
41625,41625,26651416,Stoke Park Estate,361602.21,177605.51,361602.21,177605.51,361602.21,177605.51,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,,,0.35921348314606744,Not Applicable,,101.54225730467141,Imputed
41626,41626,26651417,Stoke Park Estate,361781.34,177628.76,361781.34,177628.76,361781.34,177628.76,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,,,0.35921348314606744,Not Applicable,,101.54225730467141,Imputed
41627,41627,26651418,Stoke Park Estate,361777.22,177578.88,361777.22,177578.88,361777.22,177578.88,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,,,0.35921348314606744,Not Applicable,,101.54225730467141,Imputed
41628,41628,26651419,Stoke Park Estate,361786.38,177655.83,361786.38,177655.83,361786.38,177655.83,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,,,0.35921348314606744,Not Applicable,,101.54225730467141,Imputed
41629,41629,26651420,Stoke Park Estate,361749.68,177499.44,361749.68,177499.44,361749.68,177499.44,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,,,0.35921348314606744,Not Applicable,,101.54225730467141,Imputed
41630,41630,26651421,Stoke Park Estate,361802.05,177648.09,361802.05,177648.09,361802.05,177648.09,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,,,0.35921348314606744,Not Applicable,,101.54225730467141,Imputed
41631,41631,26651422,Stoke Park Estate,361746.87,177545.56,361746.87,177545.56,361746.87,177545.56,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,,,0.35921348314606744,Not Applicable,,101.54225730467141,Imputed
41632,41632,26651423,Stoke Park Estate,361624.92,177526.38,361624.92,177526.38,361624.92,177526.38,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,,,0.35921348314606744,Not Applicable,,101.54225730467141,Imputed
41633,41633,26651424,Stoke Park Estate,361762.83,177583.59,361762.83,177583.59,361762.83,177583.59,No Code Allocated,,,No Code Allocated,,,0.305455333429082,Not Applicable,,79.50364575536493,Imputed
41634,41634,26651425,Stoke Park Estate,361911.79,177695.23,361911.79,177695.23,361911.79,177695.23,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,,,0.35921348314606744,Not Applicable,,101.54225730467141,Imputed
41635,41635,26651426,Stoke Park Estate,361627.3,177586.78,361627.3,177586.78,361627.3,177586.78,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,,,0.35921348314606744,Not Applicable,,101.54225730467141,Imputed
41636,41636,26651427,Stoke Park Estate,361754.76,177560.48,361754.76,177560.48,361754.76,177560.48,No Code Allocated,,,No Code Allocated,,,0.305455333429082,Not Applicable,,79.50364575536493,Imputed
41637,41637,26651428,Stoke Park Estate,361747.05,177291.83,361747.05,177291.83,361747.05,177291.83,Fraxinus excelsior,,Common ash,Fraxinus excelsior,,,0.305455333429082,Not Applicable,,79.50364575536493,Imputed
41638,41638,26651429,Stoke Park Estate,361709.03,177633.13,361709.03,177633.13,361709.03,177633.13,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,,,0.35921348314606744,Not Applicable,,101.54225730467141,Imputed
41639,41639,26651430,Stoke Park Estate,361735.95,177641.5,361735.95,177641.5,361735.95,177641.5,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,,,0.35921348314606744,Not Applicable,,101.54225730467141,Imputed
41640,41640,26651431,Stoke Park Estate,361731.95,177630.25,361731.95,177630.25,361731.95,177630.25,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,,,0.35921348314606744,Not Applicable,,101.54225730467141,Imputed
41641,41641,26651432,Stoke Park Estate,361712.33,177641.1,361712.33,177641.1,361712.33,177641.1,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,,,0.35921348314606744,Not Applicable,,101.54225730467141,Imputed
41642,41642,26651433,Stoke Park Estate,361574.81,177530.59,361574.81,177530.59,361574.81,177530.59,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,,,0.35921348314606744,Not Applicable,,101.54225730467141,Imputed
41643,41643,26651434,Stoke Park Estate,361765.54,177550.74,361765.54,177550.74,361765.54,177550.74,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,,,0.35921348314606744,Not Applicable,,101.54225730467141,Imputed
41644,41644,26651435,Stoke Park Estate,361271.84,176315.28,361271.84,176315.28,361271.84,176315.28,Quercus robur,Oak,English oak,Quercus robur,16.0,15.0,0.3291523660946438,Not Applicable,,87.82839325234113,Imputed
41645,41645,26651436,Stoke Park Estate,361565.04,177500.36,361565.04,177500.36,361565.04,177500.36,Taxus baccata,Yew,Yew,Taxus baccata,,,0.47444717444717444,Not Applicable,,80.88904441794227,Imputed
