OBJECTID,SITE_NAME,X,Y,EXTENT_EASTING_1,EXTENT_NORTHING_1,EXTENT_EASTING_2,EXTENT_NORTHING_2,LATIN_NAME,COMMON_NAME,FULL_COMMON_NAME,TREE_SPECIES,CROWN_WIDTH,CROWN_HEIGHT,MIN_CROWN_AREA,MAX_CROWN_AREA,DBH,PLANTING_SEASON
26636055,Cook Street Open Space,352147.12,177829.93,352147.12,177829.93,352147.12,177829.93,Populus tremula,Aspen,Aspen,Populus tremula,8.0,11.0,20.1,100.0,0.29,Not Applicable
26636056,Cook Street Open Space,352146.67,177826.41,352146.67,177826.41,352146.67,177826.41,Tilia - Species Unknown,Lime,Unidentified lime,Tilia - Species Unknown,5.0,7.0,20.1,100.0,0.5,Not Applicable
26636057,Cook Street Open Space,352155.09,177820.55,352155.09,177820.55,352155.09,177820.55,Tilia - Species Unknown,Lime,Unidentified lime,Tilia - Species Unknown,6.0,7.0,20.1,100.0,0.2,Not Applicable
26636058,Cook Street Open Space,352159.78,177813.31,352159.78,177813.31,352159.78,177813.31,Tilia - Species Unknown,Lime,Unidentified lime,Tilia - Species Unknown,6.0,7.0,20.1,100.0,0.27,Not Applicable
26636059,Cook Street Open Space,352178.02,177779.28,352178.02,177779.28,352178.02,177779.28,Tilia - Species Unknown,Lime,Unidentified lime,Tilia - Species Unknown,6.0,8.0,20.1,100.0,0.24,Not Applicable
26636060,Cook Street Open Space,352098.45,177784.93,352098.45,177784.93,352098.45,177784.93,Carpinus betulus,Hornbeam,Hornbeam,Carpinus betulus,2.0,2.0,,,0.06,Planting Season 22/23
26636061,Cook Street Open Space,352114.73,177796.79,352114.73,177796.79,352114.73,177796.79,Tilia - Species Unknown,Lime,Unidentified lime,Tilia - Species Unknown,10.0,8.0,,,0.28,Not Applicable
26636062,Cook Street Open Space,352169.35,177795.05,352169.35,177795.05,352169.35,177795.05,Tilia - Species Unknown,Lime,Unidentified lime,Tilia - Species Unknown,6.0,8.0,20.1,100.0,0.25,Not Applicable
26636063,Cook Street Open Space,352174.77,177787.88,352174.77,177787.88,352174.77,177787.88,Tilia - Species Unknown,Lime,Unidentified lime,Tilia - Species Unknown,6.0,8.0,20.1,100.0,0.24,Not Applicable
26636064,Cook Street Open Space,352145.35,177806.07,352145.35,177806.07,352145.35,177806.07,Ulmus 'New Horizon',Elm,Elm ' New Horizon',Ulmus 'New Horizon',,,,,0.06,Planting Season 23/24
26636065,Coombe Brook Valley,363165.05,174791.06,363165.05,174791.06,363165.05,174791.06,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,,,,,0.31,Not Applicable
26636066,Coombe Brook Valley,363334.86,174714.63,363334.86,174714.63,363334.86,174714.63,Prunus avium,Cherry,Wild cherry,Prunus avium,8.0,10.0,20.1,100.0,0.33,Not Applicable
26636067,Coombe Brook Valley,363335.89,174711.4,363335.89,174711.4,363335.89,174711.4,Acer campestre,Field Maple,Field maple,Acer campestre,6.0,10.0,20.1,100.0,0.4,Not Applicable
26636068,Coombe Brook Valley,363337.57,174713.21,363337.57,174713.21,363337.57,174713.21,Acer campestre,Field Maple,Field maple,Acer campestre,6.0,10.0,20.1,100.0,0.31,Not Applicable
26636069,Coombe Brook Valley,363276.99,174752.98,363276.99,174752.98,363276.99,174752.98,Mixed Species Group,,,Mixed Species Group,,,,,,Not Applicable
26636070,Coombe Elderly Peoples Home,356006.27,177547.14,356006.27,177547.14,356006.27,177547.14,Tilia - Species Unknown,Lime,Unidentified lime,Tilia - Species Unknown,9.0,16.0,100.1,200.0,,Not Applicable
26636071,Coombe Elderly Peoples Home,355974.34,177538.5,355974.34,177538.5,355974.34,177538.5,Fagus sylvatica,Beech,Common beech,Fagus sylvatica,8.0,19.0,100.1,200.0,0.64,Not Applicable
26636072,Coombe Elderly Peoples Home,355969.34,177539.82,355969.34,177539.82,355969.34,177539.82,Quercus robur,Oak,English oak,Quercus robur,7.0,15.0,100.1,200.0,0.38,Not Applicable
26636073,Coombe Elderly Peoples Home,355967.63,177536.4,355967.63,177536.4,355967.63,177536.4,Quercus robur,Oak,English oak,Quercus robur,7.0,15.0,100.1,200.0,0.32,Not Applicable
26636074,Coombe Elderly Peoples Home,355964.74,177532.45,355964.74,177532.45,355964.74,177532.45,Quercus robur,Oak,English oak,Quercus robur,8.0,14.0,100.1,200.0,0.63,Not Applicable
26636075,Coombe Elderly Peoples Home,355970.79,177530.87,355970.79,177530.87,355970.79,177530.87,Castanea sativa,Sweet Chestnut,Sweet chestnut,Castanea sativa,10.0,14.0,100.1,200.0,0.54,Not Applicable
26636076,Coombe Elderly Peoples Home,355971.58,177521.25,355971.58,177521.25,355971.58,177521.25,Castanea sativa,Sweet Chestnut,Sweet chestnut,Castanea sativa,2.0,3.0,0.0,20.0,0.1,Not Applicable
26636077,Coombe Elderly Peoples Home,355959.2,177520.2,355959.2,177520.2,355959.2,177520.2,Castanea sativa,Sweet Chestnut,Sweet chestnut,Castanea sativa,12.0,12.0,100.1,200.0,0.9,Not Applicable
26636078,Coombe Elderly Peoples Home,355957.62,177509.14,355957.62,177509.14,355957.62,177509.14,Quercus robur,Oak,English oak,Quercus robur,11.0,14.0,100.1,200.0,0.46,Not Applicable
26636079,Coombe Elderly Peoples Home,355960.91,177496.5,355960.91,177496.5,355960.91,177496.5,Fagus sylvatica Purpurea,Copper Beech,Copper beech,Fagus sylvatica Purpurea,14.0,19.0,200.1,350.0,1.37,Not Applicable
26636080,Coombe Elderly Peoples Home,355961.83,177485.04,355961.83,177485.04,355961.83,177485.04,Prunus - Species Unknown,Cherry,Unidentified cherry,Prunus - Species Unknown,5.0,5.0,20.1,100.0,0.2,Not Applicable
26636081,Coombe Elderly Peoples Home,355992.65,177544.83,355992.65,177544.83,355992.65,177544.83,Fagus sylvatica,Beech,Common beech,Fagus sylvatica,20.0,19.0,,,1.2,Not Applicable
26636082,Corbett House Residential Land,361047.54,173056.47,361047.54,173056.47,361047.54,173056.47,Sorbus aucuparia,Rowan,Rowan,Sorbus aucuparia,3.0,4.0,0.0,20.0,0.09,Not Applicable
26636083,Corbett House Residential Land,361090.28,173089.12,361090.28,173089.12,361090.28,173089.12,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,19.0,17.0,200.1,350.0,0.6,Not Applicable
26636084,Corbett House Residential Land,361034.06,173085.45,361034.06,173085.45,361034.06,173085.45,Quercus robur,Oak,English oak,Quercus robur,6.0,6.0,20.1,100.0,0.1,Not Applicable
26636085,Corbett House Residential Land,361049.39,173053.44,361049.39,173053.44,361049.39,173053.44,Malus John Downie,Apple,Crabapple,Malus John Downie,3.0,3.0,0.0,20.0,0.08,Not Applicable
26636086,Corbett House Residential Land,361044.01,173062.54,361044.01,173062.54,361044.01,173062.54,Prunus avium,Cherry,Wild cherry,Prunus avium,4.0,5.0,0.0,20.0,0.12,Not Applicable
26636087,Corbett House Residential Land,361047.54,173070.63,361047.54,173070.63,361047.54,173070.63,Malus - Species Unknown,Apple,Unidentified apple,Malus - Species Unknown,3.0,3.0,0.0,20.0,0.11,Not Applicable
26636088,Corbett House Residential Land,361072.64,173055.63,361072.64,173055.63,361072.64,173055.63,Larix decidua,Larch,European larch,Larix decidua,5.0,7.0,20.1,100.0,0.12,Not Applicable
26636089,Corbett House Residential Land,361079.21,173055.97,361079.21,173055.97,361079.21,173055.97,Quercus robur,Oak,English oak,Quercus robur,4.0,3.0,0.0,20.0,0.09,Not Applicable
26636090,Corbett House Residential Land,361089.23,173098.33,361089.23,173098.33,361089.23,173098.33,Prunus - Species Unknown,Cherry,Unidentified cherry,Prunus - Species Unknown,3.0,2.0,,,0.09,Not Applicable
26636091,Coriander Walk (SH),361219.44,174709.78,361219.44,174709.78,361219.44,174709.78,Prunus - Species Unknown,Cherry,Unidentified cherry,Prunus - Species Unknown,1.0,2.0,,,0.15,Not Applicable
26636092,Coriander Walk (SH),361206.95,174708.66,361206.95,174708.66,361206.95,174708.66,ZZ Tree stump,Cherry,,ZZ Tree stump,,,,,0.29,Not Applicable
26636093,Cornish Grove Amenity Land,362307.48,168651.24,362307.48,168651.24,362307.48,168651.24,Cercis siliquastrum,Judas Tree,Judas tree,Cercis siliquastrum,,,,,0.06,Planting Season 23/24
26636094,Cornish Grove Amenity Land,362314.55,168650.6,362314.55,168650.6,362314.55,168650.6,Ilex aquifolium,Holly,Common holly,Ilex aquifolium,,,,,0.06,Planting Season 23/24
26636095,Cornish Grove Amenity Land,362321.07,168640.2,362321.07,168640.2,362321.07,168640.2,Acer campestre,Field Maple,Field maple,Acer campestre,,,,,0.06,Planting Season 23/24
26636096,Cornish Grove Amenity Land,362315.82,168644.34,362315.82,168644.34,362315.82,168644.34,Parrotia persica,Ironwood,Persian ironwood,Parrotia persica,,,,,0.06,Planting Season 23/24
26636097,Cornish Grove Amenity Land,362317.0,168633.07,362317.0,168633.07,362317.0,168633.07,Prunus serrula,Cherry,Tibetan cherry,Prunus serrula,,,,,0.06,Planting Season 23/24
26636098,Cornish Walk Amenity Land,362255.33,168596.23,362255.33,168596.23,362255.33,168596.23,Ilex aquifolium,Holly,Common holly,Ilex aquifolium,,,,,0.06,Planting Season 23/24
26636099,Cornish Walk Amenity Land,362256.05,168613.52,362256.05,168613.52,362256.05,168613.52,Acer campestre,Field Maple,Field maple,Acer campestre,,,,,0.06,Planting Season 23/24
26636100,Cornish Walk Amenity Land,362245.15,168612.15,362245.15,168612.15,362245.15,168612.15,Prunus serrula,Cherry,Tibetan cherry,Prunus serrula,,,,,0.06,Planting Season 23/24
26636101,Cornish Walk Amenity Land,362259.16,168606.84,362259.16,168606.84,362259.16,168606.84,Parrotia persica,Ironwood,Persian ironwood,Parrotia persica,,,,,0.06,Planting Season 23/24
26636102,Cornish Walk Amenity Land,362265.02,168601.08,362265.02,168601.08,362265.02,168601.08,Cercis siliquastrum,Judas Tree,Judas tree,Cercis siliquastrum,,,,,0.06,Planting Season 23/24
26636103,Costiland Drive Garages,356576.88,168647.21,356576.88,168647.21,356576.88,168647.21,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,7.0,5.0,20.1,100.0,0.22,Not Applicable
26636104,Costiland Drive Garages,356544.94,168609.82,356544.94,168609.82,356544.94,168609.82,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,5.0,10.0,20.1,100.0,0.2,Not Applicable
26636105,Costiland Drive Garages,356546.07,168609.45,356546.07,168609.45,356546.07,168609.45,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,7.0,10.0,20.1,100.0,0.36,Not Applicable
26636106,Costiland Drive Garages,356565.01,168613.92,356565.01,168613.92,356565.01,168613.92,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,10.0,8.0,20.1,100.0,0.35000000000000003,Not Applicable
26636107,Costiland Drive Garages,356569.93,168609.82,356569.93,168609.82,356569.93,168609.82,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,9.0,9.0,20.1,100.0,0.32,Not Applicable
26636108,Cotham Brow Flats,358738.55,174243.37,358738.55,174243.37,358738.55,174243.37,Abies - Species Unknown,Fir,Fir species,Abies - Species Unknown,3.0,6.0,0.0,20.0,0.1,Not Applicable
26636109,Cotham Brow Flats,358714.99,174263.4,358714.99,174263.4,358714.99,174263.4,Betula pendula Edinburgh,Birch,Betula pendula Edinburgh,Betula pendula Edinburgh,2.0,5.0,0.0,20.0,0.06,Planting Season 11/12
26636110,Cotham Brow Flats,358711.45,174254.05,358711.45,174254.05,358711.45,174254.05,Betula pendula Edinburgh,Birch,Betula pendula Edinburgh,Betula pendula Edinburgh,2.0,5.0,0.0,20.0,0.06,Planting Season 11/12
26636111,Cotham Brow Flats,358740.67,174251.62,358740.67,174251.62,358740.67,174251.62,Picea abies,Spruce,Norway spruce,Picea abies,6.0,9.0,20.1,100.0,0.2,Not Applicable
26636112,Cotman Walk Scout Hut,360531.21,176504.08,360531.21,176504.08,360531.21,176504.08,X Cupressocyparis leylandii,Cypress,Leyland cypress,X Cupressocyparis leylandii,3.0,8.0,20.1,100.0,0.32,Not Applicable
26636113,Cotman Walk Former Allotments S/O no 28,360661.51,176630.84,360661.51,176630.84,360661.51,176630.84,Fraxinus - Species Unknown,Ash,Unidentified ash,Fraxinus - Species Unknown,6.0,5.0,20.1,100.0,0.4,Not Applicable
26636114,Cotman Walk Scout Hut,360538.68,176509.46,360538.68,176509.46,360538.68,176509.46,Corylus avellana,Hazel,Hazel,Corylus avellana,4.0,4.0,0.0,20.0,0.08,Not Applicable
26636115,Cotman Walk Scout Hut,360537.07,176503.04,360537.07,176503.04,360537.07,176503.04,Corylus avellana,Hazel,Hazel,Corylus avellana,5.0,4.0,0.0,20.0,0.2,Not Applicable
26636116,Cottle Road Green Space,362678.09,168482.83,362678.09,168482.83,362678.09,168482.83,Acer platanoides,Maple,Norway maple,Acer platanoides,11.0,9.0,100.1,200.0,0.36,Not Applicable
26636117,Cottle Road Green Space,362666.26,168470.56,362666.26,168470.56,362666.26,168470.56,Fagus sylvatica,Beech,Common beech,Fagus sylvatica,3.0,4.0,0.0,20.0,0.07,Planting Season 09/10
26636118,Cottle Road Green Space,362658.83,168478.21,362658.83,168478.21,362658.83,168478.21,Fagus sylvatica,Beech,Common beech,Fagus sylvatica,2.0,3.0,0.0,20.0,0.06,Planting Season 09/10
26636119,Cottle Road Green Space,362651.18,168485.43,362651.18,168485.43,362651.18,168485.43,Fagus sylvatica,Beech,Common beech,Fagus sylvatica,2.0,3.0,0.0,20.0,0.04,Planting Season 09/10
26636120,Cottle Road Green Space,362642.63,168493.98,362642.63,168493.98,362642.63,168493.98,Fagus sylvatica,Beech,Common beech,Fagus sylvatica,1.0,2.0,0.0,20.0,0.05,Planting Season 09/10
26636121,Cottle Road Green Space,362631.97,168504.52,362631.97,168504.52,362631.97,168504.52,Fagus sylvatica,Beech,Common beech,Fagus sylvatica,2.0,3.0,0.0,20.0,,Planting Season 09/10
26636122,Cottle Road Green Space,362623.76,168512.95,362623.76,168512.95,362623.76,168512.95,Fagus sylvatica,Beech,Common beech,Fagus sylvatica,2.0,3.0,0.0,20.0,0.06,Planting Season 09/10
26636123,Cottle Road Green Space,362607.34,168527.72,362607.34,168527.72,362607.34,168527.72,Fagus sylvatica,Beech,Common beech,Fagus sylvatica,2.0,3.0,0.0,20.0,,Planting Season 09/10
