,OBJECTID,X,Y,LATIN_NAME,COMMON_NAME,FULL_COMMON_NAME,TREE_SPECIES,DBH,tree_group,CROWN_VOLUME
5978,26615437,361152.64,170172.9,Metasequoia glyptostroboides,Dawn Redwood,Dawn redwood,Metasequoia glyptostroboides,0.08,deciduous,9.728948461019652
5980,26615439,361133.0,170137.99,Liquidambar styraciflua ’Worp',American sweetgum,American sweetgum,Liquidambar styraciflua ’Worp',0.08,deciduous,9.728948461019652
5983,26615442,361099.59,170139.08,Metasequoia glyptostroboides,Dawn Redwood,Dawn redwood,Metasequoia glyptostroboides,0.08,deciduous,9.728948461019652
6111,26615570,358510.54,173177.61,Alnus cordata,Alder,Italian alder,Alnus cordata,0.35,deciduous,480.3999999999999
6117,26615576,358503.25,173171.84,Alnus cordata,Alder,Italian alder,Alnus cordata,0.04,deciduous,80.06666666666666
6118,26615577,358505.68,173173.85,Alnus cordata,Alder,Italian alder,Alnus cordata,0.35,deciduous,440.3666666666666
6119,26615578,358515.96,173182.27,Alnus cordata,Alder,Italian alder,Alnus cordata,0.5,deciduous,1400.4666666666667
6120,26615579,358527.9,173195.35,Alnus cordata,Alder,Italian alder,Alnus cordata,0.36,deciduous,400.3333333333333
6121,26615580,358533.2,173200.64,Alnus cordata,Alder,Italian alder,Alnus cordata,0.26,deciduous,360.29999999999995
6122,26615581,358537.16,173204.99,Alnus cordata,Alder,Italian alder,Alnus cordata,0.35,deciduous,360.29999999999995
6123,26615582,358547.18,173217.84,Alnus cordata,Alder,Italian alder,Alnus cordata,0.33,deciduous,360.29999999999995
6124,26615583,358551.43,173223.6,Alnus cordata,Alder,Italian alder,Alnus cordata,0.3,deciduous,400.3333333333333
6125,26615584,358554.55,173227.1,Alnus cordata,Alder,Italian alder,Alnus cordata,0.35,deciduous,520.4333333333333
6254,26615714,358007.07,170405.09,Betula utilis,Birch,Himalayan birch,Betula utilis,0.06,deciduous,6.461429192405113
6255,26615715,358000.23,170401.58,Betula utilis,Birch,Himalayan birch,Betula utilis,0.06,deciduous,6.461429192405113
6256,26615716,357993.24,170397.64,Betula utilis,Birch,Himalayan birch,Betula utilis,0.06,deciduous,6.461429192405113
6257,26615717,357987.15,170392.46,Betula utilis,Birch,Himalayan birch,Betula utilis,0.06,deciduous,6.461429192405113
6258,26615718,357978.01,170388.43,Betula utilis,Birch,Himalayan birch,Betula utilis,0.06,deciduous,6.461429192405113
6796,26616269,359297.07,173564.23,Tilia - Species Unknown,Lime,Unidentified lime,Tilia - Species Unknown,0.08,deciduous,14.76312749101039
6797,26616270,359296.33,173569.61,Tilia - Species Unknown,Lime,Unidentified lime,Tilia - Species Unknown,0.09,deciduous,18.665114075826807
6854,26616329,358843.58,173629.37,Acer platanoides cv,Maple,Norway maple cultivar,Acer platanoides cv,0.38,deciduous,480.3999999999999
6855,26616330,358841.15,173624.65,Acer platanoides cv,Maple,Norway maple cultivar,Acer platanoides cv,0.38,deciduous,480.3999999999999
6856,26616331,358840.12,173618.16,Acer platanoides cv,Maple,Norway maple cultivar,Acer platanoides cv,0.38,deciduous,480.3999999999999
6857,26616332,358896.27,173693.18,Acer platanoides,Maple,Norway maple,Acer platanoides,0.46,deciduous,1275.1438928425262
7086,26616563,358076.98,170289.61,Alnus glutinosa,Alder,Black alder,Alnus glutinosa,0.2644132397191575,deciduous,328.08642444462174
7168,26616646,359481.21,173111.37,Liriodendron tulipifera,Tulip Tree,Tulip tree,Liriodendron tulipifera,0.11,deciduous,25.53544365946053
7186,26616664,358624.54,172912.91,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.52,deciduous,1200.4
7187,26616665,358685.33,172925.05,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.65,deciduous,3300.6000000000004
7264,26616742,359518.19,173406.16,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.16,deciduous,44.99100807401503
7265,26616743,359472.23,173296.35,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.27,deciduous,125.31348458661543
7266,26616744,359499.41,173319.7,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.27,deciduous,125.31348458661543
7267,26616745,359484.93,173285.47,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.27,deciduous,125.31348458661543
7268,26616746,359524.08,173418.1,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.16,deciduous,56.23876009251879
7269,26616747,359473.55,173285.22,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.27,deciduous,125.31348458661543
7270,26616748,359455.56,173298.04,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.27,deciduous,125.31348458661543
7271,26616749,359508.5,173386.44,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.16,deciduous,56.23876009251879
7272,26616750,359489.26,173394.47,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.06,deciduous,0.5229092203502509
7273,26616751,359452.76,173309.27,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.27,deciduous,125.31348458661543
