,Unnamed: 0,OBJECTID,X,Y,LATIN_NAME,COMMON_NAME,FULL_COMMON_NAME,TREE_SPECIES,DBH,tree_group,CROWN_AREA_COMPLETE,CROWN_VOLUME,DISTANCE_TO_SENSOR
1035,41271,26651062,361123.33,171400.27,Acer campestre,Field Maple,Field maple,Acer campestre,0.09,deciduous,10.0,20.0,174.5143025657258
1036,41272,26651063,361130.77,171396.99,Acer campestre,Field Maple,Field maple,Acer campestre,0.09,deciduous,10.0,20.0,175.48519310757072
1037,41273,26651064,361137.62,171395.65,Acer campestre,Field Maple,Field maple,Acer campestre,0.09,deciduous,10.0,20.0,175.07046267146941
1038,41274,26651065,361137.62,171419.62,Quercus robur,Oak,English oak,Quercus robur,0.09,deciduous,10.0,20.0,151.84745239878654
1039,41288,26651079,361193.09,171365.67,Acer pseudoplatanus,Sycamore,Sycamore,Acer pseudoplatanus,0.39,deciduous,60.05,400.3333333333333,200.89752860599268
1040,41289,26651080,361204.26,171378.64,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.85,deciduous,275.05,2933.866666666667,189.19132432539092
1041,41290,26651081,361165.33,171465.7,Chamaecyparis lawsoniana,Cypress,Lawson's cypress,Chamaecyparis lawsoniana,0.32,evergreen,60.05,240.2,101.09707661449589
1042,41294,26651085,360977.35,171493.02,Tilia x europea,Lime,European lime,Tilia x europea,0.8,deciduous,275.05,3117.2333333333336,213.50995972087782
1043,41295,26651086,361119.66,171454.64,Fagus sylvatica,Beech,Common beech,Fagus sylvatica,1.2,deciduous,275.05,2933.866666666667,125.71636806716887
1044,41297,26651088,361026.26,171309.12,Metasequoia glyptostroboides,Dawn Redwood,Dawn redwood,Metasequoia glyptostroboides,0.1941304347826087,deciduous,38.35736252780788,155.5815098385792,298.34939584319517
1045,41298,26651089,361097.28,171404.11,Juglans regia,Walnut,Common walnut,Juglans regia,0.2323333333333333,deciduous,52.4840971378605,214.213907635376,180.89801132129676
1046,41299,26651090,361101.97,171400.94,Juglans regia,Walnut,Common walnut,Juglans regia,0.2323333333333333,deciduous,52.4840971378605,214.213907635376,181.72882132453145
1047,41300,26651091,361205.23,171405.32,Liquidambar styraciflua ’Worp',American sweetgum,American sweetgum,Liquidambar styraciflua ’Worp',0.305455333429082,deciduous,2.80459,2.9041043321066664,162.97096459184604
1048,41301,26651092,361155.05,171425.38,Corylus avellana,Hazel,Hazel,Corylus avellana,0.1533333333333333,deciduous,31.148969347409068,88.05589832178015,142.4804790137906
1049,41302,26651093,361208.19,171397.94,Liquidambar styraciflua ’Worp',American sweetgum,American sweetgum,Liquidambar styraciflua ’Worp',0.06,deciduous,2.8045902645908924,2.90410473160206,170.75010893114933
1050,41304,26651095,361046.53,171343.49,Juglans regia,Walnut,Common walnut,Juglans regia,0.2323333333333333,deciduous,52.4840971378605,214.213907635376,258.447404707412
1051,41305,26651096,361108.36,171408.95,Juglans regia,Walnut,Common walnut,Juglans regia,0.2323333333333333,deciduous,52.4840971378605,214.213907635376,171.79764870334603
1052,41306,26651097,361198.32,171424.12,Liquidambar styraciflua ’Worp',American sweetgum,American sweetgum,Liquidambar styraciflua ’Worp',0.06,deciduous,2.8045902645908924,2.90410473160206,143.32772516160858
1053,41307,26651098,361187.9,171385.73,Metasequoia glyptostroboides,Dawn Redwood,Dawn redwood,Metasequoia glyptostroboides,0.06,deciduous,2.8045902645908924,7.565196602875309,180.5416375798023
