,Unnamed: 0,OBJECTID,X,Y,LATIN_NAME,COMMON_NAME,FULL_COMMON_NAME,TREE_SPECIES,DBH,tree_group,CROWN_AREA_COMPLETE,CROWN_VOLUME,DISTANCE_TO_SENSOR
457,27546,26637230,363095.22,175752.71,Morus nigra,Mulberry,Black mulberry,Morus nigra,0.15,deciduous,60.05,240.2,234.7550904666135
458,27547,26637231,363113.81,175743.2,Aesculus hippocastanum,Horse Chestnut,Horse chestnut,Aesculus hippocastanum,0.29,deciduous,60.05,280.2333333333333,242.36921442295986
459,27548,26637232,363118.31,175725.58,X Cupressocyparis l. Castlewel,Cypress,Leylandcypress cultivar,X Cupressocyparis l. Castlewel,0.27,evergreen,60.05,200.16666666666663,235.29783785661022
460,27549,26637233,363120.96,175723.77,Chamaecyparis lawsoniana cv,Cypress,Lawson's cypress cultivar,Chamaecyparis lawsoniana cv,0.25,evergreen,60.05,160.13333333333333,236.43987502112532
461,27550,26637234,363099.75,175723.29,Prunus avium,Cherry,Wild cherry,Prunus avium,0.36,deciduous,60.05,320.26666666666665,218.98695531926595
462,27551,26637236,363112.89,175717.62,Prunus cerasifera Pissardii,Plum,Cherry plum,Prunus cerasifera Pissardii,0.05,deciduous,10.0,26.666666666666664,226.30673100905338
463,27552,26637237,363109.15,175711.11,Corylus colurna,Hazel,Turkish hazel,Corylus colurna,0.06,deciduous,10.0,33.33333333333333,219.5712973045547
464,27553,26637238,363106.5,175714.97,Prunus - Species Unknown,Cherry,Unidentified cherry,Prunus - Species Unknown,0.09,deciduous,10.0,26.666666666666664,219.53986175635688
465,27554,26637239,363104.93,175711.71,Prunus cerasifera Pissardii,Plum,Cherry plum,Prunus cerasifera Pissardii,0.04,deciduous,10.0,20.0,216.4007139544496
466,27555,26637240,363103.12,175702.91,Tilia cordata,Lime,Small-leaved lime,Tilia cordata,0.88,deciduous,150.05,1300.4333333333334,210.04800046655797
